batch_id,batch_type,batch_date
BP-38516,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/02/2013
BP-42319,RNA isolation_PAXgene Tissue miRNA,08/14/2013
BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013
BP-43495,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013
BP-43956,RNA Extraction from Paxgene-derived Lysate Plate Based,09/25/2013
BP-44261,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013
BP-44460,RNA Extraction from Paxgene-derived Lysate Plate Based,10/08/2013
BP-43507,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013
BP-38688,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/07/2013
BP-43529,RNA Extraction from Paxgene-derived Lysate Plate Based,09/13/2013
BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013
BP-38625,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/06/2013
BP-42339,RNA isolation_PAXgene Tissue miRNA,08/14/2013
BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013
BP-45139,RNA Extraction from Paxgene-derived Lysate Plate Based,10/28/2013
BP-45782,RNA Extraction from Paxgene-derived Lysate Plate Based,11/14/2013
BP-38781,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/08/2013
BP-39935,RNA isolation_Trizol Manual (Cell Pellet),06/14/2013
BP-38789,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/08/2013
BP-38780,RNA isolation_PAXgene Blood RNA (Manual),05/08/2013
BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013
BP-40621,RNA isolation_Trizol Manual (Cell Pellet),07/10/2013
BP-38824,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/09/2013
BP-38883,RNA isolation_PAXgene Blood RNA (Manual),05/10/2013
BP-61198,RNA Extraction from Paxgene-derived Lysate Plate Based,03/03/2015
BP-38828,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/09/2013
BP-43753,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013
BP-38890,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/10/2013
BP-38920,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/13/2013
BP-38943,RNA isolation_PAXgene Blood RNA (Manual),05/14/2013
BP-38948,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/14/2013
BP-38957,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/14/2013
BP-39104,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/17/2013
BP-39103,RNA isolation_PAXgene Blood RNA (Manual),05/17/2013
BP-42439,RNA isolation_PAXgene Tissue miRNA,08/19/2013
BP-42276,RNA isolation_PAXgene Tissue miRNA,08/13/2013
BP-39216,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/21/2013
BP-39145,RNA isolation_PAXgene Blood RNA (Manual),05/20/2013
BP-42343,RNA isolation_PAXgene Tissue miRNA,08/14/2013
BP-43730,RNA Extraction from Paxgene-derived Lysate Plate Based,09/18/2013
BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013
BP-44902,RNA Extraction from Paxgene-derived Lysate Plate Based,10/22/2013
BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013
BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,01/06/2014
BP-39281,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/23/2013
BP-45028,RNA Extraction from Paxgene-derived Lysate Plate Based,10/24/2013
BP-39368,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/24/2013
BP-39412,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/28/2013
BP-39427,RNA isolation_PAXgene Blood RNA (Manual),05/28/2013
BP-44512,RNA Extraction from Paxgene-derived Lysate Plate Based,10/10/2013
BP-42768,RNA isolation_PAXgene Tissue miRNA,08/27/2013
BP-42719,RNA isolation_PAXgene Tissue miRNA,08/26/2013
BP-42441,RNA isolation_PAXgene Tissue miRNA,08/19/2013
BP-83108,DNA Extraction from Paxgene-derived Lysate Plate Based,02/07/2017
BP-39533,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/31/2013
BP-39537,RNA isolation_PAXgene Blood RNA (Manual),05/31/2013
BP-52264,DNA Extraction from Paxgene-derived Lysate Plate Based,05/01/2014
BP-39600,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),06/04/2013
BP-39727,RNA isolation_PAXgene Blood RNA (Manual),06/07/2013
BP-49830,DNA Extraction from Paxgene-derived Lysate Plate Based,02/25/2014
BP-39723,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),06/07/2013
BP-43065,RNA isolation_PAXgene Tissue miRNA,09/04/2013
BP-39787,RNA isolation_PAXgene Blood RNA (Manual),06/11/2013
BP-51581,DNA Extraction from Paxgene-derived Lysate Plate Based,04/15/2014
BP-45438,RNA isolation_Trizol Manual (Cell Pellet),11/04/2013
BP-45530,RNA isolation_Trizol Manual (Cell Pellet),11/06/2013
BP-39923,RNA isolation_PAXgene Blood RNA (Manual),06/14/2013
BP-53580,DNA Extraction from Paxgene-derived Lysate Plate Based,06/05/2014
BP-44312,RNA Extraction from Paxgene-derived Lysate Plate Based,10/04/2013
BP-39922,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),06/14/2013
BP-53779,DNA Extraction from Paxgene-derived Lysate Plate Based,06/11/2014
BP-53786,DNA Extraction from Paxgene-derived Lysate Plate Based,06/11/2014
BP-40040,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),06/19/2013
