subject_id,sample_id,batch_id,center_id,tissue,rin_score
GTEX-11DXZ,0003-SM-58Q7X,BP-39216,B1,Blood,NA
GTEX-11DXZ,0126-SM-5EGGY,BP-44460,B1,Liver,7.9
GTEX-11DXZ,0326-SM-5EGH1,BP-44460,B1,Heart,8.3
GTEX-11DXZ,0726-SM-5N9C4,BP-43956,B1,Lung,7.8
GTEX-11GSP,0004-SM-58Q83,BP-39412,B1,Blood,NA
GTEX-11GSP,0626-SM-5986T,BP-44902,B1,Liver,6.2
GTEX-11GSP,0726-SM-5986L,BP-44902,B1,Lung,6.9
GTEX-11GSP,1226-SM-5985M,BP-44902,B1,Heart,7.9
GTEX-11NUK,0004-SM-58Q87,BP-39723,B1,Blood,NA
GTEX-11NUK,0826-SM-5HL4U,BP-43730,B1,Lung,7.4
GTEX-11NUK,0926-SM-5HL57,BP-43730,B1,Heart,6.3
GTEX-11NUK,1226-SM-5P9GM,BP-47888,B1,Liver,6.1
GTEX-11NV4,0001-SM-58Q86,BP-39723,B1,Blood,NA
GTEX-11NV4,0826-SM-5BC4S,BP-44264,B1,Heart,6.7
GTEX-11NV4,1126-SM-5HL6J,BP-43730,B1,Lung,7.1
GTEX-11NV4,1326-SM-5HL6V,BP-43730,B1,Liver,5.9
GTEX-11TT1,0001-SM-58Q8E,BP-40136,B1,Blood,NA
GTEX-11TT1,1326-SM-5PNYM,BP-47888,B1,Heart,8
GTEX-11TT1,1626-SM-5EQL7,BP-44312,B1,Lung,8.9
GTEX-11TT1,1726-SM-5EQLJ,BP-44312,B1,Liver,9.1
GTEX-11TUW,0004-SM-58Q8F,BP-40136,B1,Blood,NA
GTEX-11TUW,0526-SM-5LU9A,BP-45139,B1,Lung,7.7
GTEX-11TUW,1026-SM-5GU7D,BP-43753,B1,Heart,6.4
GTEX-11TUW,1726-SM-5BC5C,BP-44512,B1,Liver,6.1
GTEX-11ZUS,0003-SM-58Q8H,BP-40422,C1,Blood,NA
GTEX-11ZUS,0126-SM-5EQM5,BP-44114,C1,Lung,6.5
GTEX-11ZUS,0226-SM-5FQT8,BP-44114,C1,Heart,7.6
GTEX-11ZUS,2526-SM-59872,BP-44577,C1,Liver,6.7
GTEX-11ZVC,0004-SM-58Q8O,BP-40499,B1,Blood,NA
GTEX-11ZVC,0226-SM-731E8,BP-44525,B1,Lung,6.7
GTEX-11ZVC,0426-SM-5CVLD,BP-44525,B1,Heart,5.9
GTEX-11ZVC,0726-SM-5FQT9,BP-44114,B1,Liver,6.2
GTEX-1212Z,0002-SM-5SI6W,BP-45438,B1,Blood,10
GTEX-1212Z,0226-SM-59HLF,BP-44577,B1,Liver,6.4
GTEX-1212Z,0626-SM-5FQTB,BP-43881,B1,Heart,6.9
GTEX-1212Z,1026-SM-5EGJ8,BP-44399,B1,Lung,6.2
GTEX-12696,0002-SM-5SI6U,BP-45438,B1,Blood,10
GTEX-12696,0826-SM-5EGGE,BP-44399,B1,Liver,7
GTEX-12696,1026-SM-5FQUV,BP-43881,B1,Lung,7.6
GTEX-12696,1126-SM-5FQTI,BP-43881,B1,Heart,8.6
GTEX-12WSD,0002-SM-5ANGA,BP-41965,C1,Blood,NA
GTEX-12WSD,0826-SM-5GCNE,BP-43881,C1,Lung,6.1
GTEX-12WSD,1126-SM-5EGJD,BP-44399,C1,Heart,7.6
GTEX-12WSD,1426-SM-5GCN9,BP-44157,C1,Liver,6.9
GTEX-12WSG,0001-SM-5ANGG,BP-41501,B1,Blood,NA
GTEX-12WSG,0326-SM-5FQU3,BP-43881,B1,Lung,7.7
GTEX-12WSG,0526-SM-5FQTH,BP-43881,B1,Heart,7.2
GTEX-12WSG,0626-SM-5FQTQ,BP-43881,B1,Liver,6.6
GTEX-12WSI,0004-SM-5ANGP,BP-41801,B1,Blood,NA
GTEX-12WSI,0226-SM-5GCNA,BP-43881,B1,Liver,5.8
GTEX-12WSI,0426-SM-5EQ5J,BP-44901,B1,Heart,5.8
GTEX-12WSI,0826-SM-5EGKD,BP-44901,B1,Lung,7.2
GTEX-131XE,0004-SM-5GYA4,BP-42742,B1,Blood,NA
GTEX-131XE,0326-SM-5LZVO,BP-45782,B1,Liver,6.3
GTEX-131XE,0526-SM-5K7YT,BP-45485,B1,Heart,7.4
GTEX-131XE,0726-SM-5HL9K,BP-45247,B1,Lung,5.9
GTEX-131YS,0003-SM-5DU4F,BP-42867,C1,Blood,NA
GTEX-131YS,0826-SM-5PNYV,BP-47901,C1,Heart,8
GTEX-131YS,0926-SM-5IJB9,BP-45499,C1,Lung,7.3
GTEX-131YS,1626-SM-5HL6C,BP-45247,C1,Liver,6
GTEX-132NY,0001-SM-5GYA3,BP-42983,C1,Blood,NA
GTEX-132NY,0926-SM-5P9G3,BP-47901,C1,Liver,7.4
GTEX-132NY,1226-SM-5PNVF,BP-47901,C1,Lung,7.4
GTEX-132NY,1426-SM-5J1MJ,BP-46482,C1,Heart,6.8
GTEX-13FTZ,0004-SM-5DU3W,BP-44087,B1,Blood,NA
GTEX-13FTZ,0226-SM-5K7X6,BP-46978,B1,Heart,6
GTEX-13FTZ,0526-SM-5IJCW,BP-46943,B1,Lung,6.3
GTEX-13FTZ,0726-SM-5IFFY,BP-46943,B1,Liver,5.8
GTEX-13OW6,0002-SM-5GYAF,BP-44681,C1,Blood,NA
GTEX-13OW6,0826-SM-5L3GA,BP-47486,C1,Lung,8.2
GTEX-13OW6,0926-SM-5L3GM,BP-47486,C1,Heart,7.9
GTEX-13OW6,2626-SM-5IFF2,BP-46999,C1,Liver,6.8
GTEX-147F4,0003-SM-5GYA1,BP-46094,B1,Blood,NA
GTEX-147F4,0926-SM-5Q5EO,BP-48437,B1,Lung,7.5
GTEX-147F4,1126-SM-5TDDE,BP-48852,B1,Heart,6.6
GTEX-147F4,1426-SM-5LUA8,BP-47616,B1,Liver,7
GTEX-147JS,0003-SM-5DU46,BP-46094,C1,Blood,NA
GTEX-147JS,1126-SM-5RQIW,BP-48576,C1,Liver,6.2
GTEX-147JS,1226-SM-5RQK4,BP-48576,C1,Lung,6.7
GTEX-147JS,1326-SM-5SI6D,BP-48647,C1,Heart,6.8
GTEX-14BIL,0004-SM-5DU4U,BP-46329,B1,Blood,NA
GTEX-14BIL,0926-SM-7DHKN,BP-48119,B1,Heart,6.9
GTEX-14BIL,1226-SM-79OME,BP-48137,B1,Lung,6.8
GTEX-14BIL,1326-SM-79OMR,BP-48137,B1,Liver,6.6
GTEX-14DAQ,0004-SM-5CV9E,BP-46711,C1,Blood,NA
GTEX-14DAQ,0926-SM-793AZ,BP-48119,C1,Lung,7.9
GTEX-14DAQ,1026-SM-793B1,BP-48119,C1,Heart,7.7
GTEX-14DAQ,1726-SM-5S2R2,BP-48651,C1,Liver,6.1
GTEX-14E1K,0003-SM-5CV9F,BP-46788,B1,Blood,NA
GTEX-14E1K,0226-SM-62LDT,BP-49089,B1,Lung,7.6
GTEX-14E1K,0326-SM-5S2PE,BP-48647,B1,Liver,6.8
GTEX-14E1K,0826-SM-5ZZW9,BP-49102,B1,Heart,8.5
GTEX-14E7W,0001-SM-5CV9I,BP-46788,C1,Blood,NA
GTEX-14E7W,1126-SM-5ZZVS,BP-49387,C1,Heart,6.3
GTEX-14E7W,1326-SM-5RQIV,BP-48576,C1,Lung,6.6
GTEX-14E7W,1526-SM-6871X,BP-51592,C1,Liver,7.3
GTEX-14JG1,0002-SM-5HX8M,BP-47299,C1,Blood,NA
GTEX-14JG1,0826-SM-5ZZWR,BP-49102,C1,Heart,7.3
