session_id,session_type,session_date
MEC-20170102-A,afternoon,01/02/2017
MEC-20170102-E,evening,01/02/2017
MEC-20170102-M,morning,01/02/2017
MEC-20170103-A,afternoon,01/03/2017
MEC-20170103-E,evening,01/03/2017
MEC-20170103-M,morning,01/03/2017
MEC-20170104-A,afternoon,01/04/2017
MEC-20170104-E,evening,01/04/2017
MEC-20170104-M,morning,01/04/2017
MEC-20170105-A,afternoon,01/05/2017
MEC-20170105-E,evening,01/05/2017
MEC-20170105-M,morning,01/05/2017
MEC-20170106-A,afternoon,01/06/2017
MEC-20170106-E,evening,01/06/2017
MEC-20170106-M,morning,01/06/2017
MEC-20170109-A,afternoon,01/09/2017
MEC-20170109-E,evening,01/09/2017
MEC-20170109-M,morning,01/09/2017
MEC-20170110-A,afternoon,01/10/2017
MEC-20170110-E,evening,01/10/2017
MEC-20170110-M,morning,01/10/2017
MEC-20170111-A,afternoon,01/11/2017
MEC-20170111-E,evening,01/11/2017
MEC-20170111-M,morning,01/11/2017
MEC-20170112-A,afternoon,01/12/2017
MEC-20170112-E,evening,01/12/2017
MEC-20170112-M,morning,01/12/2017
MEC-20170113-A,afternoon,01/13/2017
MEC-20170113-E,evening,01/13/2017
MEC-20170113-M,morning,01/13/2017
MEC-20170116-A,afternoon,01/16/2017
MEC-20170116-E,evening,01/16/2017
MEC-20170116-M,morning,01/16/2017
MEC-20170117-A,afternoon,01/17/2017
MEC-20170117-E,evening,01/17/2017
MEC-20170117-M,morning,01/17/2017
MEC-20170118-A,afternoon,01/18/2017
MEC-20170118-E,evening,01/18/2017
MEC-20170118-M,morning,01/18/2017
MEC-20170119-A,afternoon,01/19/2017
MEC-20170119-E,evening,01/19/2017
MEC-20170119-M,morning,01/19/2017
MEC-20170120-A,afternoon,01/20/2017
MEC-20170120-E,evening,01/20/2017
MEC-20170120-M,morning,01/20/2017
MEC-20170123-A,afternoon,01/23/2017
MEC-20170123-E,evening,01/23/2017
MEC-20170123-M,morning,01/23/2017
MEC-20170124-A,afternoon,01/24/2017
MEC-20170124-E,evening,01/24/2017
MEC-20170124-M,morning,01/24/2017
MEC-20170125-A,afternoon,01/25/2017
MEC-20170125-E,evening,01/25/2017
MEC-20170125-M,morning,01/25/2017
MEC-20170126-A,afternoon,01/26/2017
MEC-20170126-E,evening,01/26/2017
MEC-20170126-M,morning,01/26/2017
MEC-20170127-A,afternoon,01/27/2017
MEC-20170127-E,evening,01/27/2017
MEC-20170127-M,morning,01/27/2017
MEC-20170130-A,afternoon,01/30/2017
MEC-20170130-E,evening,01/30/2017
MEC-20170130-M,morning,01/30/2017
MEC-20170131-A,afternoon,01/31/2017
MEC-20170131-E,evening,01/31/2017
MEC-20170131-M,morning,01/31/2017
MEC-20170201-A,afternoon,02/01/2017
MEC-20170201-E,evening,02/01/2017
